CCY,TradeType,Firm,Size,Tenor,Spread
AUD,Vanilla Outright,Median,200000.0,1Y,2.125
AUD,Vanilla Outright,Median,500000.0,1Y,3.375
AUD,Vanilla Outright,Median,1000000.0,1Y,4.8125
AUD,Vanilla Outright,Median,2000000.0,1Y,6.75
AUD,Vanilla Outright,Median,5000000.0,1Y,10.0
AUD,Vanilla Outright,Median,10000000.0,1Y,15.0
AUD,Vanilla Outright,Median,200000.0,2Y,2.75
AUD,Vanilla Outright,Median,500000.0,2Y,4.0
AUD,Vanilla Outright,Median,1000000.0,2Y,5.8125
AUD,Vanilla Outright,Median,2000000.0,2Y,7.75
AUD,Vanilla Outright,Median,5000000.0,2Y,12.0
AUD,Vanilla Outright,Median,10000000.0,2Y,19.5
AUD,Vanilla Outright,Median,200000.0,5Y,3.0
AUD,Vanilla Outright,Median,500000.0,5Y,4.5
AUD,Vanilla Outright,Median,1000000.0,5Y,6.0
AUD,Vanilla Outright,Median,2000000.0,5Y,8.0
AUD,Vanilla Outright,Median,5000000.0,5Y,13.5
AUD,Vanilla Outright,Median,10000000.0,5Y,21.09375
AUD,Vanilla Outright,Median,200000.0,10Y,2.75
AUD,Vanilla Outright,Median,500000.0,10Y,4.34375
AUD,Vanilla Outright,Median,1000000.0,10Y,6.0
AUD,Vanilla Outright,Median,2000000.0,10Y,8.0
AUD,Vanilla Outright,Median,5000000.0,10Y,13.0
AUD,Vanilla Outright,Median,10000000.0,10Y,20.0
AUD,Vanilla Outright,Median,200000.0,30Y,5.0
AUD,Vanilla Outright,Median,500000.0,30Y,7.75
AUD,Vanilla Outright,Median,1000000.0,30Y,10.0
AUD,Vanilla Outright,Median,2000000.0,30Y,15.0
AUD,Vanilla Outright,Median,5000000.0,30Y,20.625
AUD,Vanilla Outright,Median,10000000.0,30Y,37.5
AUD,Vanilla Outright,Median,-200000.0,1Y,2.0
AUD,Vanilla Outright,Median,-500000.0,1Y,3.0
AUD,Vanilla Outright,Median,-1000000.0,1Y,4.34375
AUD,Vanilla Outright,Median,-2000000.0,1Y,6.28125
AUD,Vanilla Outright,Median,-5000000.0,1Y,10.2734375
AUD,Vanilla Outright,Median,-10000000.0,1Y,15.0
AUD,Vanilla Outright,Median,-200000.0,2Y,2.5
AUD,Vanilla Outright,Median,-500000.0,2Y,4.0
AUD,Vanilla Outright,Median,-1000000.0,2Y,5.5
AUD,Vanilla Outright,Median,-2000000.0,2Y,7.5
AUD,Vanilla Outright,Median,-5000000.0,2Y,12.0
AUD,Vanilla Outright,Median,-10000000.0,2Y,18.75
AUD,Vanilla Outright,Median,-200000.0,5Y,2.90625
AUD,Vanilla Outright,Median,-500000.0,5Y,4.5
AUD,Vanilla Outright,Median,-1000000.0,5Y,6.0
AUD,Vanilla Outright,Median,-2000000.0,5Y,8.0
AUD,Vanilla Outright,Median,-5000000.0,5Y,12.5625
AUD,Vanilla Outright,Median,-10000000.0,5Y,21.09375
AUD,Vanilla Outright,Median,-200000.0,10Y,2.65625
AUD,Vanilla Outright,Median,-500000.0,10Y,3.875
AUD,Vanilla Outright,Median,-1000000.0,10Y,6.0
AUD,Vanilla Outright,Median,-2000000.0,10Y,7.75
AUD,Vanilla Outright,Median,-5000000.0,10Y,13.0
AUD,Vanilla Outright,Median,-10000000.0,10Y,20.0
