CCY,TradeType,Firm,Size,Tenor,Spread
BRL,Vanilla Outright,Median,1000000.0,6M,6.25
BRL,Vanilla Outright,Median,5000000.0,6M,11.53125
BRL,Vanilla Outright,Median,10000000.0,6M,15.9375
BRL,Vanilla Outright,Median,20000000.0,6M,26.78125
BRL,Vanilla Outright,Median,50000000.0,6M,45.0
BRL,Vanilla Outright,Median,100000000.0,6M,90.0
BRL,Vanilla Outright,Median,150000000.0,6M,150.0
BRL,Vanilla Outright,Median,1000000.0,1Y,6.25
BRL,Vanilla Outright,Median,5000000.0,1Y,11.53125
BRL,Vanilla Outright,Median,10000000.0,1Y,16.9375
BRL,Vanilla Outright,Median,20000000.0,1Y,27.5
BRL,Vanilla Outright,Median,50000000.0,1Y,50.0
BRL,Vanilla Outright,Median,100000000.0,1Y,100.0
BRL,Vanilla Outright,Median,150000000.0,1Y,150.0
BRL,Vanilla Outright,Median,1000000.0,2Y,7.5625
BRL,Vanilla Outright,Median,5000000.0,2Y,15.0
BRL,Vanilla Outright,Median,10000000.0,2Y,25.0
BRL,Vanilla Outright,Median,20000000.0,2Y,39.0
BRL,Vanilla Outright,Median,50000000.0,2Y,60.0
BRL,Vanilla Outright,Median,100000000.0,2Y,120.0
BRL,Vanilla Outright,Median,150000000.0,2Y,234.0
BRL,Vanilla Outright,Median,1000000.0,5Y,10.0
BRL,Vanilla Outright,Median,5000000.0,5Y,20.375
BRL,Vanilla Outright,Median,10000000.0,5Y,32.5
BRL,Vanilla Outright,Median,20000000.0,5Y,64.0
BRL,Vanilla Outright,Median,50000000.0,5Y,103.0
BRL,Vanilla Outright,Median,100000000.0,5Y,188.5
BRL,Vanilla Outright,Median,150000000.0,5Y,280.0
BRL,Vanilla Outright,Median,1000000.0,10Y,6.03125
BRL,Vanilla Outright,Median,5000000.0,10Y,10.0
BRL,Vanilla Outright,Median,10000000.0,10Y,15.203125
BRL,Vanilla Outright,Median,20000000.0,10Y,30.0
BRL,Vanilla Outright,Median,50000000.0,10Y,55.0
BRL,Vanilla Outright,Median,100000000.0,10Y,100.0
BRL,Vanilla Outright,Median,150000000.0,10Y,150.0
BRL,Vanilla Outright,DB,1000000.0,6M,6.15625
BRL,Vanilla Outright,DB,5000000.0,6M,10.3671875
BRL,Vanilla Outright,DB,10000000.0,6M,18.75
BRL,Vanilla Outright,DB,20000000.0,6M,32.5
BRL,Vanilla Outright,DB,50000000.0,6M,57.5
BRL,Vanilla Outright,DB,100000000.0,6M,102.5
BRL,Vanilla Outright,DB,150000000.0,6M,150.0
BRL,Vanilla Outright,DB,1000000.0,1Y,8.0
BRL,Vanilla Outright,DB,5000000.0,1Y,14.375
BRL,Vanilla Outright,DB,10000000.0,1Y,25.0
BRL,Vanilla Outright,DB,20000000.0,1Y,41.5
BRL,Vanilla Outright,DB,50000000.0,1Y,65.0
BRL,Vanilla Outright,DB,100000000.0,1Y,130.0
BRL,Vanilla Outright,DB,150000000.0,1Y,234.0
BRL,Vanilla Outright,DB,1000000.0,2Y,10.0
BRL,Vanilla Outright,DB,5000000.0,2Y,19.375
BRL,Vanilla Outright,DB,10000000.0,2Y,33.75
BRL,Vanilla Outright,DB,20000000.0,2Y,54.0
BRL,Vanilla Outright,DB,50000000.0,2Y,95.0
BRL,Vanilla Outright,DB,100000000.0,2Y,180.0
BRL,Vanilla Outright,DB,150000000.0,2Y,334.0
BRL,Vanilla Outright,DB,1000000.0,5Y,3.0
BRL,Vanilla Outright,DB,5000000.0,5Y,7.0
BRL,Vanilla Outright,DB,10000000.0,5Y,10.0
BRL,Vanilla Outright,DB,20000000.0,5Y,20.0
BRL,Vanilla Outright,DB,50000000.0,5Y,40.0
BRL,Vanilla Outright,DB,100000000.0,5Y,80.0
BRL,Vanilla Outright,DB,150000000.0,5Y,160.0
BRL,Vanilla Outright,DB,1000000.0,10Y,4.0
BRL,Vanilla Outright,DB,5000000.0,10Y,7.0
BRL,Vanilla Outright,DB,10000000.0,10Y,15.0
BRL,Vanilla Outright,DB,20000000.0,10Y,25.0
BRL,Vanilla Outright,DB,50000000.0,10Y,50.0
BRL,Vanilla Outright,DB,100000000.0,10Y,100.0
BRL,Vanilla Outright,DB,150000000.0,10Y,200.0
BRL,Vanilla Outright,BNP,1000000.0,6M,6.0
BRL,Vanilla Outright,BNP,5000000.0,6M,8.0
BRL,Vanilla Outright,BNP,10000000.0,6M,20.0
BRL,Vanilla Outright,BNP,20000000.0,6M,30.0
BRL,Vanilla Outright,BNP,50000000.0,6M,60.0
BRL,Vanilla Outright,BNP,100000000.0,6M,120.0
BRL,Vanilla Outright,BNP,150000000.0,6M,240.0
BRL,Vanilla Outright,BNP,1000000.0,1Y,12.0
BRL,Vanilla Outright,BNP,5000000.0,1Y,25.0
BRL,Vanilla Outright,BNP,10000000.0,1Y,35.0
BRL,Vanilla Outright,BNP,20000000.0,1Y,70.0
BRL,Vanilla Outright,BNP,50000000.0,1Y,140.0
BRL,Vanilla Outright,BNP,100000000.0,1Y,210.0
BRL,Vanilla Outright,BNP,150000000.0,1Y,280.0
BRL,Vanilla Outright,BNP,1000000.0,2Y,4.0
BRL,Vanilla Outright,BNP,5000000.0,2Y,8.0
BRL,Vanilla Outright,BNP,10000000.0,2Y,15.0
BRL,Vanilla Outright,BNP,20000000.0,2Y,30.0
BRL,Vanilla Outright,BNP,50000000.0,2Y,60.0
BRL,Vanilla Outright,BNP,100000000.0,2Y,100.0
BRL,Vanilla Outright,BNP,150000000.0,2Y,200.0
BRL,Vanilla Outright,BNP,1000000.0,5Y,9.0
BRL,Vanilla Outright,BNP,5000000.0,5Y,10.0
BRL,Vanilla Outright,BNP,10000000.0,5Y,20.0
BRL,Vanilla Outright,BNP,20000000.0,5Y,35.0
BRL,Vanilla Outright,BNP,50000000.0,5Y,70.0
BRL,Vanilla Outright,BNP,100000000.0,5Y,140.0
BRL,Vanilla Outright,BNP,150000000.0,5Y,280.0
BRL,Vanilla Outright,BNP,1000000.0,10Y,8.0
BRL,Vanilla Outright,BNP,5000000.0,10Y,11.0
BRL,Vanilla Outright,BNP,10000000.0,10Y,15.0
BRL,Vanilla Outright,BNP,20000000.0,10Y,35.0
BRL,Vanilla Outright,BNP,50000000.0,10Y,70.0
BRL,Vanilla Outright,BNP,100000000.0,10Y,140.0
BRL,Vanilla Outright,BNP,150000000.0,10Y,280.0
BRL,Vanilla Outright,RABO,1000000.0,6M,15.0
BRL,Vanilla Outright,RABO,5000000.0,6M,25.0
BRL,Vanilla Outright,RABO,10000000.0,6M,40.0
