CCY,TradeType,Firm,Size,Tenor,Spread
CAD,Vanilla Outright,Median,200000.0,1Y,2.0
CAD,Vanilla Outright,Median,500000.0,1Y,2.4
CAD,Vanilla Outright,Median,1000000.0,1Y,4.0
CAD,Vanilla Outright,Median,2000000.0,1Y,5.0
CAD,Vanilla Outright,Median,5000000.0,1Y,10.0
CAD,Vanilla Outright,Median,10000000.0,1Y,15.5
CAD,Vanilla Outright,Median,200000.0,2Y,2.0
CAD,Vanilla Outright,Median,500000.0,2Y,2.4
CAD,Vanilla Outright,Median,1000000.0,2Y,4.0
CAD,Vanilla Outright,Median,2000000.0,2Y,5.5
CAD,Vanilla Outright,Median,5000000.0,2Y,10.0
CAD,Vanilla Outright,Median,10000000.0,2Y,15.5
CAD,Vanilla Outright,Median,200000.0,5Y,2.0
CAD,Vanilla Outright,Median,500000.0,5Y,3.0
CAD,Vanilla Outright,Median,1000000.0,5Y,4.5
CAD,Vanilla Outright,Median,2000000.0,5Y,7.0
CAD,Vanilla Outright,Median,5000000.0,5Y,10.0
CAD,Vanilla Outright,Median,10000000.0,5Y,18.000000000000004
CAD,Vanilla Outright,Median,200000.0,10Y,2.0
CAD,Vanilla Outright,Median,500000.0,10Y,3.0
CAD,Vanilla Outright,Median,1000000.0,10Y,4.5
CAD,Vanilla Outright,Median,2000000.0,10Y,7.5
CAD,Vanilla Outright,Median,5000000.0,10Y,14.0625
CAD,Vanilla Outright,Median,10000000.0,10Y,18.000000000000004
CAD,Vanilla Outright,Median,200000.0,30Y,3.0
CAD,Vanilla Outright,Median,500000.0,30Y,5.0
CAD,Vanilla Outright,Median,1000000.0,30Y,7.0
CAD,Vanilla Outright,Median,2000000.0,30Y,10.0
CAD,Vanilla Outright,Median,5000000.0,30Y,18.59375
CAD,Vanilla Outright,Median,10000000.0,30Y,26.25
CAD,Vanilla Outright,Median,-200000.0,1Y,2.0
CAD,Vanilla Outright,Median,-500000.0,1Y,2.0
CAD,Vanilla Outright,Median,-1000000.0,1Y,3.75
CAD,Vanilla Outright,Median,-2000000.0,1Y,5.0
CAD,Vanilla Outright,Median,-5000000.0,1Y,8.0
CAD,Vanilla Outright,Median,-10000000.0,1Y,11.25
CAD,Vanilla Outright,Median,-200000.0,2Y,2.0
CAD,Vanilla Outright,Median,-500000.0,2Y,2.0
CAD,Vanilla Outright,Median,-1000000.0,2Y,3.75
CAD,Vanilla Outright,Median,-2000000.0,2Y,5.25
CAD,Vanilla Outright,Median,-5000000.0,2Y,8.0
CAD,Vanilla Outright,Median,-10000000.0,2Y,13.5
CAD,Vanilla Outright,Median,-200000.0,5Y,2.0
CAD,Vanilla Outright,Median,-500000.0,5Y,2.5
CAD,Vanilla Outright,Median,-1000000.0,5Y,4.0
CAD,Vanilla Outright,Median,-2000000.0,5Y,5.25
CAD,Vanilla Outright,Median,-5000000.0,5Y,10.0
CAD,Vanilla Outright,Median,-10000000.0,5Y,16.0
CAD,Vanilla Outright,Median,-200000.0,10Y,1.8
CAD,Vanilla Outright,Median,-500000.0,10Y,3.0
CAD,Vanilla Outright,Median,-1000000.0,10Y,4.0
CAD,Vanilla Outright,Median,-2000000.0,10Y,6.0
CAD,Vanilla Outright,Median,-5000000.0,10Y,10.0
CAD,Vanilla Outright,Median,-10000000.0,10Y,16.0
