CCY,TradeType,Firm,Size,Tenor,Spread
CLP,Vanilla Outright,Median,20000000.0,6M,6.0
CLP,Vanilla Outright,Median,50000000.0,6M,9.375
CLP,Vanilla Outright,Median,100000000.0,6M,13.75
CLP,Vanilla Outright,Median,200000000.0,6M,20.0
CLP,Vanilla Outright,Median,500000000.0,6M,30.0
CLP,Vanilla Outright,Median,1000000000.0,6M,40.0
CLP,Vanilla Outright,Median,1500000000.0,6M,40.5
CLP,Vanilla Outright,Median,2000000000.0,6M,54.675000000000004
CLP,Vanilla Outright,Median,20000000.0,9M,6.5
CLP,Vanilla Outright,Median,50000000.0,9M,9.375
CLP,Vanilla Outright,Median,100000000.0,9M,13.75
CLP,Vanilla Outright,Median,200000000.0,9M,22.5
CLP,Vanilla Outright,Median,500000000.0,9M,30.625
CLP,Vanilla Outright,Median,1000000000.0,9M,43.75
CLP,Vanilla Outright,Median,1500000000.0,9M,40.5
CLP,Vanilla Outright,Median,2000000000.0,9M,54.675000000000004
CLP,Vanilla Outright,Median,20000000.0,1Y,7.5
CLP,Vanilla Outright,Median,50000000.0,1Y,10.0
CLP,Vanilla Outright,Median,100000000.0,1Y,17.5
CLP,Vanilla Outright,Median,200000000.0,1Y,25.0
CLP,Vanilla Outright,Median,500000000.0,1Y,35.0
CLP,Vanilla Outright,Median,1000000000.0,1Y,50.0
CLP,Vanilla Outright,Median,1500000000.0,1Y,40.5
CLP,Vanilla Outright,Median,2000000000.0,1Y,54.675000000000004
CLP,Vanilla Outright,Median,20000000.0,2Y,7.5
CLP,Vanilla Outright,Median,50000000.0,2Y,10.0
CLP,Vanilla Outright,Median,100000000.0,2Y,17.5
CLP,Vanilla Outright,Median,200000000.0,2Y,25.0
CLP,Vanilla Outright,Median,500000000.0,2Y,37.0
CLP,Vanilla Outright,Median,1000000000.0,2Y,50.0
CLP,Vanilla Outright,Median,1500000000.0,2Y,44.0
CLP,Vanilla Outright,Median,2000000000.0,2Y,54.675000000000004
CLP,Vanilla Outright,Median,20000000.0,5Y,7.5
CLP,Vanilla Outright,Median,50000000.0,5Y,10.0
CLP,Vanilla Outright,Median,100000000.0,5Y,17.5
CLP,Vanilla Outright,Median,200000000.0,5Y,25.0
CLP,Vanilla Outright,Median,500000000.0,5Y,40.0
CLP,Vanilla Outright,Median,1000000000.0,5Y,50.0
CLP,Vanilla Outright,Median,1500000000.0,5Y,50.0
CLP,Vanilla Outright,Median,2000000000.0,5Y,54.675000000000004
CLP,Vanilla Outright,Median,-20000000.0,6M,6.0
CLP,Vanilla Outright,Median,-50000000.0,6M,9.375
CLP,Vanilla Outright,Median,-100000000.0,6M,13.75
CLP,Vanilla Outright,Median,-200000000.0,6M,22.5
CLP,Vanilla Outright,Median,-500000000.0,6M,30.625
CLP,Vanilla Outright,Median,-1000000000.0,6M,43.75
CLP,Vanilla Outright,Median,-1500000000.0,6M,45.0
CLP,Vanilla Outright,Median,-2000000000.0,6M,54.675000000000004
CLP,Vanilla Outright,Median,-20000000.0,9M,6.5
CLP,Vanilla Outright,Median,-50000000.0,9M,9.375
CLP,Vanilla Outright,Median,-100000000.0,9M,13.75
CLP,Vanilla Outright,Median,-200000000.0,9M,22.5
CLP,Vanilla Outright,Median,-500000000.0,9M,32.625
CLP,Vanilla Outright,Median,-1000000000.0,9M,43.75
CLP,Vanilla Outright,Median,-1500000000.0,9M,45.0
CLP,Vanilla Outright,Median,-2000000000.0,9M,54.675000000000004
CLP,Vanilla Outright,Median,-20000000.0,1Y,7.5
CLP,Vanilla Outright,Median,-50000000.0,1Y,11.0
CLP,Vanilla Outright,Median,-100000000.0,1Y,17.5
CLP,Vanilla Outright,Median,-200000000.0,1Y,27.5
CLP,Vanilla Outright,Median,-500000000.0,1Y,40.0
CLP,Vanilla Outright,Median,-1000000000.0,1Y,70.0
CLP,Vanilla Outright,Median,-1500000000.0,1Y,45.0
CLP,Vanilla Outright,Median,-2000000000.0,1Y,54.675000000000004
CLP,Vanilla Outright,Median,-20000000.0,2Y,7.5
CLP,Vanilla Outright,Median,-50000000.0,2Y,11.0
CLP,Vanilla Outright,Median,-100000000.0,2Y,18.0
