CCY,TradeType,Firm,Size,Tenor,Spread
COP,COP ND OIS - Outright,Median,30000000.0,6M,4.5
COP,COP ND OIS - Outright,Median,75000000.0,6M,7.0
COP,COP ND OIS - Outright,Median,150000000.0,6M,9.0
COP,COP ND OIS - Outright,Median,300000000.0,6M,16.0
COP,COP ND OIS - Outright,Median,750000000.0,6M,27.5
COP,COP ND OIS - Outright,Median,1500000000.0,6M,49.0
COP,COP ND OIS - Outright,Median,3000000000.0,6M,65.0
COP,COP ND OIS - Outright,Median,30000000.0,9M,4.5
COP,COP ND OIS - Outright,Median,75000000.0,9M,7.0
COP,COP ND OIS - Outright,Median,150000000.0,9M,9.0
COP,COP ND OIS - Outright,Median,300000000.0,9M,16.0
COP,COP ND OIS - Outright,Median,750000000.0,9M,30.0
COP,COP ND OIS - Outright,Median,1500000000.0,9M,50.0
COP,COP ND OIS - Outright,Median,3000000000.0,9M,65.0
COP,COP ND OIS - Outright,Median,30000000.0,1Y,4.5
COP,COP ND OIS - Outright,Median,75000000.0,1Y,7.0
COP,COP ND OIS - Outright,Median,150000000.0,1Y,9.0
COP,COP ND OIS - Outright,Median,300000000.0,1Y,16.0
COP,COP ND OIS - Outright,Median,750000000.0,1Y,30.0
COP,COP ND OIS - Outright,Median,1500000000.0,1Y,53.0
COP,COP ND OIS - Outright,Median,3000000000.0,1Y,65.0
COP,COP ND OIS - Outright,Median,30000000.0,2Y,4.5
COP,COP ND OIS - Outright,Median,75000000.0,2Y,7.0
COP,COP ND OIS - Outright,Median,150000000.0,2Y,9.0
COP,COP ND OIS - Outright,Median,300000000.0,2Y,16.0
COP,COP ND OIS - Outright,Median,750000000.0,2Y,30.0
COP,COP ND OIS - Outright,Median,1500000000.0,2Y,57.0
COP,COP ND OIS - Outright,Median,3000000000.0,2Y,65.0
COP,COP ND OIS - Outright,Median,30000000.0,5Y,5.0
COP,COP ND OIS - Outright,Median,75000000.0,5Y,7.0
COP,COP ND OIS - Outright,Median,150000000.0,5Y,9.0
COP,COP ND OIS - Outright,Median,300000000.0,5Y,16.0
COP,COP ND OIS - Outright,Median,750000000.0,5Y,30.0
COP,COP ND OIS - Outright,Median,1500000000.0,5Y,61.0
COP,COP ND OIS - Outright,Median,3000000000.0,5Y,65.0
COP,COP ND OIS - Outright,Median,-30000000.0,6M,4.5
COP,COP ND OIS - Outright,Median,-75000000.0,6M,7.0
COP,COP ND OIS - Outright,Median,-150000000.0,6M,9.0
COP,COP ND OIS - Outright,Median,-300000000.0,6M,13.5
COP,COP ND OIS - Outright,Median,-750000000.0,6M,30.0
COP,COP ND OIS - Outright,Median,-1500000000.0,6M,50.0
COP,COP ND OIS - Outright,Median,-3000000000.0,6M,65.0
COP,COP ND OIS - Outright,Median,-30000000.0,9M,4.5
COP,COP ND OIS - Outright,Median,-75000000.0,9M,7.0
COP,COP ND OIS - Outright,Median,-150000000.0,9M,9.0
COP,COP ND OIS - Outright,Median,-300000000.0,9M,13.5
COP,COP ND OIS - Outright,Median,-750000000.0,9M,30.0
COP,COP ND OIS - Outright,Median,-1500000000.0,9M,50.0
COP,COP ND OIS - Outright,Median,-3000000000.0,9M,65.0
COP,COP ND OIS - Outright,Median,-30000000.0,1Y,4.5
COP,COP ND OIS - Outright,Median,-75000000.0,1Y,7.0
COP,COP ND OIS - Outright,Median,-150000000.0,1Y,9.0
COP,COP ND OIS - Outright,Median,-300000000.0,1Y,13.5
COP,COP ND OIS - Outright,Median,-750000000.0,1Y,30.0
COP,COP ND OIS - Outright,Median,-1500000000.0,1Y,63.0
COP,COP ND OIS - Outright,Median,-3000000000.0,1Y,65.0
COP,COP ND OIS - Outright,Median,-30000000.0,2Y,4.5
COP,COP ND OIS - Outright,Median,-75000000.0,2Y,7.0
COP,COP ND OIS - Outright,Median,-150000000.0,2Y,9.0
COP,COP ND OIS - Outright,Median,-300000000.0,2Y,13.5
COP,COP ND OIS - Outright,Median,-750000000.0,2Y,30.0
COP,COP ND OIS - Outright,Median,-1500000000.0,2Y,67.0
COP,COP ND OIS - Outright,Median,-3000000000.0,2Y,65.0
COP,COP ND OIS - Outright,Median,-30000000.0,5Y,5.0
COP,COP ND OIS - Outright,Median,-75000000.0,5Y,7.0
COP,COP ND OIS - Outright,Median,-150000000.0,5Y,9.0
COP,COP ND OIS - Outright,Median,-300000000.0,5Y,13.5
COP,COP ND OIS - Outright,Median,-750000000.0,5Y,30.0
COP,COP ND OIS - Outright,Median,-1500000000.0,5Y,71.0
COP,COP ND OIS - Outright,Median,-3000000000.0,5Y,65.0
COP,COP ND OIS - Outright,DB,30000000.0,6M,3.0
COP,COP ND OIS - Outright,DB,75000000.0,6M,4.0
COP,COP ND OIS - Outright,DB,150000000.0,6M,5.0
COP,COP ND OIS - Outright,DB,300000000.0,6M,10.0
COP,COP ND OIS - Outright,DB,750000000.0,6M,15.0
COP,COP ND OIS - Outright,DB,1500000000.0,6M,20.0
COP,COP ND OIS - Outright,DB,3000000000.0,6M,30.0
COP,COP ND OIS - Outright,DB,30000000.0,9M,3.0
COP,COP ND OIS - Outright,DB,75000000.0,9M,4.0
COP,COP ND OIS - Outright,DB,150000000.0,9M,5.0
COP,COP ND OIS - Outright,DB,300000000.0,9M,10.0
COP,COP ND OIS - Outright,DB,750000000.0,9M,15.0
COP,COP ND OIS - Outright,DB,1500000000.0,9M,20.0
COP,COP ND OIS - Outright,DB,3000000000.0,9M,30.0
COP,COP ND OIS - Outright,DB,30000000.0,1Y,3.0
COP,COP ND OIS - Outright,DB,75000000.0,1Y,4.0
COP,COP ND OIS - Outright,DB,150000000.0,1Y,5.0
COP,COP ND OIS - Outright,DB,300000000.0,1Y,10.0
COP,COP ND OIS - Outright,DB,750000000.0,1Y,15.0
COP,COP ND OIS - Outright,DB,1500000000.0,1Y,20.0
COP,COP ND OIS - Outright,DB,3000000000.0,1Y,30.0
COP,COP ND OIS - Outright,DB,30000000.0,2Y,3.0
COP,COP ND OIS - Outright,DB,75000000.0,2Y,4.0
COP,COP ND OIS - Outright,DB,150000000.0,2Y,5.0
COP,COP ND OIS - Outright,DB,300000000.0,2Y,10.0
COP,COP ND OIS - Outright,DB,750000000.0,2Y,15.0
COP,COP ND OIS - Outright,DB,1500000000.0,2Y,20.0
COP,COP ND OIS - Outright,DB,3000000000.0,2Y,30.0
COP,COP ND OIS - Outright,DB,30000000.0,5Y,3.0
COP,COP ND OIS - Outright,DB,75000000.0,5Y,4.0
COP,COP ND OIS - Outright,DB,150000000.0,5Y,5.0
COP,COP ND OIS - Outright,DB,300000000.0,5Y,10.0
COP,COP ND OIS - Outright,DB,750000000.0,5Y,15.0
COP,COP ND OIS - Outright,DB,1500000000.0,5Y,20.0
COP,COP ND OIS - Outright,DB,3000000000.0,5Y,30.0
COP,COP ND OIS - Outright,DB,-30000000.0,6M,3.0
COP,COP ND OIS - Outright,DB,-75000000.0,6M,4.0
COP,COP ND OIS - Outright,DB,-150000000.0,6M,5.0
COP,COP ND OIS - Outright,DB,-300000000.0,6M,10.0
COP,COP ND OIS - Outright,DB,-750000000.0,6M,15.0
COP,COP ND OIS - Outright,DB,-1500000000.0,6M,20.0
COP,COP ND OIS - Outright,DB,-3000000000.0,6M,30.0
COP,COP ND OIS - Outright,DB,-30000000.0,9M,3.0
COP,COP ND OIS - Outright,DB,-75000000.0,9M,4.0
COP,COP ND OIS - Outright,DB,-150000000.0,9M,5.0
COP,COP ND OIS - Outright,DB,-300000000.0,9M,10.0
COP,COP ND OIS - Outright,DB,-750000000.0,9M,15.0
COP,COP ND OIS - Outright,DB,-1500000000.0,9M,20.0
COP,COP ND OIS - Outright,DB,-3000000000.0,9M,30.0
COP,COP ND OIS - Outright,DB,-30000000.0,1Y,3.0
COP,COP ND OIS - Outright,DB,-75000000.0,1Y,4.0
COP,COP ND OIS - Outright,DB,-150000000.0,1Y,5.0
COP,COP ND OIS - Outright,DB,-300000000.0,1Y,10.0
COP,COP ND OIS - Outright,DB,-750000000.0,1Y,15.0
COP,COP ND OIS - Outright,DB,-1500000000.0,1Y,20.0
COP,COP ND OIS - Outright,DB,-3000000000.0,1Y,30.0
COP,COP ND OIS - Outright,DB,-30000000.0,2Y,3.0
COP,COP ND OIS - Outright,DB,-75000000.0,2Y,4.0
COP,COP ND OIS - Outright,DB,-150000000.0,2Y,5.0
COP,COP ND OIS - Outright,DB,-300000000.0,2Y,10.0
COP,COP ND OIS - Outright,DB,-750000000.0,2Y,15.0
COP,COP ND OIS - Outright,DB,-1500000000.0,2Y,20.0
COP,COP ND OIS - Outright,DB,-3000000000.0,2Y,30.0
COP,COP ND OIS - Outright,DB,-30000000.0,5Y,3.0
COP,COP ND OIS - Outright,DB,-75000000.0,5Y,4.0
COP,COP ND OIS - Outright,DB,-150000000.0,5Y,5.0
COP,COP ND OIS - Outright,DB,-300000000.0,5Y,10.0
COP,COP ND OIS - Outright,DB,-750000000.0,5Y,15.0
COP,COP ND OIS - Outright,DB,-1500000000.0,5Y,20.0
COP,COP ND OIS - Outright,DB,-3000000000.0,5Y,30.0
COP,COP ND OIS - Outright,BNP,30000000.0,6M,10.0
COP,COP ND OIS - Outright,BNP,75000000.0,6M,12.0
COP,COP ND OIS - Outright,BNP,150000000.0,6M,15.0
COP,COP ND OIS - Outright,BNP,300000000.0,6M,20.0
COP,COP ND OIS - Outright,BNP,750000000.0,6M,30.0
COP,COP ND OIS - Outright,BNP,1500000000.0,6M,50.0
COP,COP ND OIS - Outright,BNP,3000000000.0,6M,
COP,COP ND OIS - Outright,BNP,30000000.0,9M,10.0
COP,COP ND OIS - Outright,BNP,75000000.0,9M,12.0
COP,COP ND OIS - Outright,BNP,150000000.0,9M,15.0
COP,COP ND OIS - Outright,BNP,300000000.0,9M,20.0
COP,COP ND OIS - Outright,BNP,750000000.0,9M,30.0
COP,COP ND OIS - Outright,BNP,1500000000.0,9M,50.0
COP,COP ND OIS - Outright,BNP,3000000000.0,9M,
COP,COP ND OIS - Outright,BNP,30000000.0,1Y,12.0
COP,COP ND OIS - Outright,BNP,75000000.0,1Y,15.0
COP,COP ND OIS - Outright,BNP,150000000.0,1Y,20.0
COP,COP ND OIS - Outright,BNP,300000000.0,1Y,40.0
COP,COP ND OIS - Outright,BNP,750000000.0,1Y,60.0
COP,COP ND OIS - Outright,BNP,1500000000.0,1Y,80.0
COP,COP ND OIS - Outright,BNP,3000000000.0,1Y,
COP,COP ND OIS - Outright,BNP,30000000.0,2Y,12.0
COP,COP ND OIS - Outright,BNP,75000000.0,2Y,15.0
COP,COP ND OIS - Outright,BNP,150000000.0,2Y,25.0
COP,COP ND OIS - Outright,BNP,300000000.0,2Y,35.0
COP,COP ND OIS - Outright,BNP,750000000.0,2Y,60.0
COP,COP ND OIS - Outright,BNP,1500000000.0,2Y,80.0
COP,COP ND OIS - Outright,BNP,3000000000.0,2Y,
COP,COP ND OIS - Outright,BNP,30000000.0,5Y,15.0
COP,COP ND OIS - Outright,BNP,75000000.0,5Y,25.0
COP,COP ND OIS - Outright,BNP,150000000.0,5Y,40.0
COP,COP ND OIS - Outright,BNP,300000000.0,5Y,60.0
COP,COP ND OIS - Outright,BNP,750000000.0,5Y,80.0
COP,COP ND OIS - Outright,BNP,1500000000.0,5Y,100.0
COP,COP ND OIS - Outright,BNP,3000000000.0,5Y,
COP,COP ND OIS - Outright,BNP,-30000000.0,6M,10.0
COP,COP ND OIS - Outright,BNP,-75000000.0,6M,12.0
COP,COP ND OIS - Outright,BNP,-150000000.0,6M,15.0
COP,COP ND OIS - Outright,BNP,-300000000.0,6M,20.0
