CCY,TradeType,Firm,Size,Tenor,Spread
EUR,Vanilla Outright,Median,500000.0,1Y,1.0
EUR,Vanilla Outright,Median,1250000.0,1Y,2.0
EUR,Vanilla Outright,Median,2500000.0,1Y,3.0
EUR,Vanilla Outright,Median,5000000.0,1Y,5.0
EUR,Vanilla Outright,Median,12500000.0,1Y,8.0
EUR,Vanilla Outright,Median,25000000.0,1Y,12.0
EUR,Vanilla Outright,Median,500000.0,2Y,1.0
EUR,Vanilla Outright,Median,1250000.0,2Y,2.0
EUR,Vanilla Outright,Median,2500000.0,2Y,3.0
EUR,Vanilla Outright,Median,5000000.0,2Y,5.0
EUR,Vanilla Outright,Median,12500000.0,2Y,8.0
EUR,Vanilla Outright,Median,25000000.0,2Y,12.0
EUR,Vanilla Outright,Median,500000.0,5Y,1.0
EUR,Vanilla Outright,Median,1250000.0,5Y,2.0
EUR,Vanilla Outright,Median,2500000.0,5Y,3.0
EUR,Vanilla Outright,Median,5000000.0,5Y,6.0
EUR,Vanilla Outright,Median,12500000.0,5Y,8.0
EUR,Vanilla Outright,Median,25000000.0,5Y,12.5
EUR,Vanilla Outright,Median,500000.0,10Y,1.25
EUR,Vanilla Outright,Median,1250000.0,10Y,2.0
EUR,Vanilla Outright,Median,2500000.0,10Y,3.75
EUR,Vanilla Outright,Median,5000000.0,10Y,6.0
EUR,Vanilla Outright,Median,12500000.0,10Y,8.0
EUR,Vanilla Outright,Median,25000000.0,10Y,15.0
EUR,Vanilla Outright,Median,500000.0,30Y,1.5
EUR,Vanilla Outright,Median,1250000.0,30Y,2.4
EUR,Vanilla Outright,Median,2500000.0,30Y,4.0
EUR,Vanilla Outright,Median,5000000.0,30Y,6.0
EUR,Vanilla Outright,Median,12500000.0,30Y,10.0
EUR,Vanilla Outright,Median,25000000.0,30Y,20.0
EUR,Vanilla Outright,Median,-500000.0,1Y,1.0
EUR,Vanilla Outright,Median,-1250000.0,1Y,2.0
EUR,Vanilla Outright,Median,-2500000.0,1Y,3.0
EUR,Vanilla Outright,Median,-5000000.0,1Y,5.0
EUR,Vanilla Outright,Median,-12500000.0,1Y,8.0
EUR,Vanilla Outright,Median,-25000000.0,1Y,10.0
EUR,Vanilla Outright,Median,-500000.0,2Y,1.0
EUR,Vanilla Outright,Median,-1250000.0,2Y,2.0
EUR,Vanilla Outright,Median,-2500000.0,2Y,3.0
EUR,Vanilla Outright,Median,-5000000.0,2Y,5.0
EUR,Vanilla Outright,Median,-12500000.0,2Y,8.0
EUR,Vanilla Outright,Median,-25000000.0,2Y,10.0
EUR,Vanilla Outright,Median,-500000.0,5Y,1.2
EUR,Vanilla Outright,Median,-1250000.0,5Y,2.0
EUR,Vanilla Outright,Median,-2500000.0,5Y,3.0
EUR,Vanilla Outright,Median,-5000000.0,5Y,6.0
EUR,Vanilla Outright,Median,-12500000.0,5Y,8.0
EUR,Vanilla Outright,Median,-25000000.0,5Y,12.0
EUR,Vanilla Outright,Median,-500000.0,10Y,1.25
EUR,Vanilla Outright,Median,-1250000.0,10Y,2.0
EUR,Vanilla Outright,Median,-2500000.0,10Y,4.0
EUR,Vanilla Outright,Median,-5000000.0,10Y,6.0
EUR,Vanilla Outright,Median,-12500000.0,10Y,8.0
EUR,Vanilla Outright,Median,-25000000.0,10Y,14.23828125
EUR,Vanilla Outright,Median,-500000.0,30Y,1.5
EUR,Vanilla Outright,Median,-1250000.0,30Y,3.0
EUR,Vanilla Outright,Median,-2500000.0,30Y,4.5
EUR,Vanilla Outright,Median,-5000000.0,30Y,6.0
EUR,Vanilla Outright,Median,-12500000.0,30Y,10.0
EUR,Vanilla Outright,Median,-25000000.0,30Y,18.984375
EUR,Vanilla Outright,DB,500000.0,1Y,0.3
EUR,Vanilla Outright,DB,1250000.0,1Y,0.5
EUR,Vanilla Outright,DB,2500000.0,1Y,1.0
EUR,Vanilla Outright,DB,5000000.0,1Y,1.5
EUR,Vanilla Outright,DB,12500000.0,1Y,2.0
EUR,Vanilla Outright,DB,25000000.0,1Y,3.5
EUR,Vanilla Outright,DB,500000.0,2Y,0.3
EUR,Vanilla Outright,DB,1250000.0,2Y,0.5
EUR,Vanilla Outright,DB,2500000.0,2Y,1.0
EUR,Vanilla Outright,DB,5000000.0,2Y,1.5
EUR,Vanilla Outright,DB,12500000.0,2Y,2.0
EUR,Vanilla Outright,DB,25000000.0,2Y,3.5
EUR,Vanilla Outright,DB,500000.0,5Y,0.4
EUR,Vanilla Outright,DB,1250000.0,5Y,0.6
EUR,Vanilla Outright,DB,2500000.0,5Y,1.2
EUR,Vanilla Outright,DB,5000000.0,5Y,1.7
EUR,Vanilla Outright,DB,12500000.0,5Y,2.2
EUR,Vanilla Outright,DB,25000000.0,5Y,4.0
EUR,Vanilla Outright,DB,500000.0,10Y,0.4
EUR,Vanilla Outright,DB,1250000.0,10Y,0.6
EUR,Vanilla Outright,DB,2500000.0,10Y,1.2
EUR,Vanilla Outright,DB,5000000.0,10Y,1.7
EUR,Vanilla Outright,DB,12500000.0,10Y,2.2
EUR,Vanilla Outright,DB,25000000.0,10Y,4.0
EUR,Vanilla Outright,DB,500000.0,30Y,0.5
EUR,Vanilla Outright,DB,1250000.0,30Y,1.0
EUR,Vanilla Outright,DB,2500000.0,30Y,1.5
