CCY,TradeType,Firm,Size,Tenor,Spread
MXN,Vanilla Outright,Median,4000000.0,1Y,6.0
MXN,Vanilla Outright,Median,10000000.0,1Y,10.0
MXN,Vanilla Outright,Median,20000000.0,1Y,16.0
MXN,Vanilla Outright,Median,40000000.0,1Y,25.5
MXN,Vanilla Outright,Median,100000000.0,1Y,40.0
MXN,Vanilla Outright,Median,200000000.0,1Y,65.0
MXN,Vanilla Outright,Median,4000000.0,2Y,7.5
MXN,Vanilla Outright,Median,10000000.0,2Y,10.0
MXN,Vanilla Outright,Median,20000000.0,2Y,16.0
MXN,Vanilla Outright,Median,40000000.0,2Y,26.0
MXN,Vanilla Outright,Median,100000000.0,2Y,40.0
MXN,Vanilla Outright,Median,200000000.0,2Y,65.0
MXN,Vanilla Outright,Median,4000000.0,5Y,9.5
MXN,Vanilla Outright,Median,10000000.0,5Y,14.0
MXN,Vanilla Outright,Median,20000000.0,5Y,19.0
MXN,Vanilla Outright,Median,40000000.0,5Y,30.0
MXN,Vanilla Outright,Median,100000000.0,5Y,45.0
MXN,Vanilla Outright,Median,200000000.0,5Y,75.0
MXN,Vanilla Outright,Median,4000000.0,10Y,10.0
MXN,Vanilla Outright,Median,10000000.0,10Y,14.5
MXN,Vanilla Outright,Median,20000000.0,10Y,19.0
MXN,Vanilla Outright,Median,40000000.0,10Y,32.5
MXN,Vanilla Outright,Median,100000000.0,10Y,45.0
MXN,Vanilla Outright,Median,200000000.0,10Y,75.0
MXN,Vanilla Outright,Median,-4000000.0,1Y,6.625
MXN,Vanilla Outright,Median,-10000000.0,1Y,10.5
MXN,Vanilla Outright,Median,-20000000.0,1Y,17.0
MXN,Vanilla Outright,Median,-40000000.0,1Y,28.0
MXN,Vanilla Outright,Median,-100000000.0,1Y,45.0
MXN,Vanilla Outright,Median,-200000000.0,1Y,70.0
MXN,Vanilla Outright,Median,-4000000.0,2Y,8.0
MXN,Vanilla Outright,Median,-10000000.0,2Y,11.0
MXN,Vanilla Outright,Median,-20000000.0,2Y,17.5
MXN,Vanilla Outright,Median,-40000000.0,2Y,28.5
MXN,Vanilla Outright,Median,-100000000.0,2Y,45.0
MXN,Vanilla Outright,Median,-200000000.0,2Y,70.0
MXN,Vanilla Outright,Median,-4000000.0,5Y,10.0
MXN,Vanilla Outright,Median,-10000000.0,5Y,14.5
MXN,Vanilla Outright,Median,-20000000.0,5Y,20.0
MXN,Vanilla Outright,Median,-40000000.0,5Y,32.5
MXN,Vanilla Outright,Median,-100000000.0,5Y,45.0
MXN,Vanilla Outright,Median,-200000000.0,5Y,75.0
MXN,Vanilla Outright,Median,-4000000.0,10Y,10.0
MXN,Vanilla Outright,Median,-10000000.0,10Y,15.0
MXN,Vanilla Outright,Median,-20000000.0,10Y,20.5
MXN,Vanilla Outright,Median,-40000000.0,10Y,37.5
MXN,Vanilla Outright,Median,-100000000.0,10Y,45.0
MXN,Vanilla Outright,Median,-200000000.0,10Y,75.0
MXN,Vanilla Outright,DB,4000000.0,1Y,7.5
MXN,Vanilla Outright,DB,10000000.0,1Y,20.0
MXN,Vanilla Outright,DB,20000000.0,1Y,30.0
MXN,Vanilla Outright,DB,40000000.0,1Y,75.0
MXN,Vanilla Outright,DB,100000000.0,1Y,100.0
MXN,Vanilla Outright,DB,200000000.0,1Y,200.0
MXN,Vanilla Outright,DB,4000000.0,2Y,7.5
MXN,Vanilla Outright,DB,10000000.0,2Y,20.0
MXN,Vanilla Outright,DB,20000000.0,2Y,30.0
MXN,Vanilla Outright,DB,40000000.0,2Y,75.0
MXN,Vanilla Outright,DB,100000000.0,2Y,100.0
MXN,Vanilla Outright,DB,200000000.0,2Y,200.0
MXN,Vanilla Outright,DB,4000000.0,5Y,7.5
MXN,Vanilla Outright,DB,10000000.0,5Y,20.0
MXN,Vanilla Outright,DB,20000000.0,5Y,30.0
MXN,Vanilla Outright,DB,40000000.0,5Y,75.0
MXN,Vanilla Outright,DB,100000000.0,5Y,100.0
MXN,Vanilla Outright,DB,200000000.0,5Y,200.0
MXN,Vanilla Outright,DB,4000000.0,10Y,7.5
MXN,Vanilla Outright,DB,10000000.0,10Y,20.0
MXN,Vanilla Outright,DB,20000000.0,10Y,30.0
MXN,Vanilla Outright,DB,40000000.0,10Y,75.0
MXN,Vanilla Outright,DB,100000000.0,10Y,100.0
MXN,Vanilla Outright,DB,200000000.0,10Y,200.0
MXN,Vanilla Outright,DB,-4000000.0,1Y,15.0
MXN,Vanilla Outright,DB,-10000000.0,1Y,30.0
MXN,Vanilla Outright,DB,-20000000.0,1Y,45.0
MXN,Vanilla Outright,DB,-40000000.0,1Y,100.0
MXN,Vanilla Outright,DB,-100000000.0,1Y,200.0
MXN,Vanilla Outright,DB,-200000000.0,1Y,300.0
MXN,Vanilla Outright,DB,-4000000.0,2Y,15.0
MXN,Vanilla Outright,DB,-10000000.0,2Y,30.0
MXN,Vanilla Outright,DB,-20000000.0,2Y,45.0
MXN,Vanilla Outright,DB,-40000000.0,2Y,100.0
MXN,Vanilla Outright,DB,-100000000.0,2Y,200.0
MXN,Vanilla Outright,DB,-200000000.0,2Y,300.0
MXN,Vanilla Outright,DB,-4000000.0,5Y,15.0
MXN,Vanilla Outright,DB,-10000000.0,5Y,30.0
MXN,Vanilla Outright,DB,-20000000.0,5Y,45.0
MXN,Vanilla Outright,DB,-40000000.0,5Y,100.0
MXN,Vanilla Outright,DB,-100000000.0,5Y,200.0
MXN,Vanilla Outright,DB,-200000000.0,5Y,300.0
MXN,Vanilla Outright,DB,-4000000.0,10Y,15.0
MXN,Vanilla Outright,DB,-10000000.0,10Y,30.0
MXN,Vanilla Outright,DB,-20000000.0,10Y,45.0
MXN,Vanilla Outright,DB,-40000000.0,10Y,100.0
MXN,Vanilla Outright,DB,-100000000.0,10Y,200.0
MXN,Vanilla Outright,DB,-200000000.0,10Y,300.0
MXN,Vanilla Outright,BNP,4000000.0,1Y,5.0
MXN,Vanilla Outright,BNP,10000000.0,1Y,7.0
MXN,Vanilla Outright,BNP,20000000.0,1Y,10.0
MXN,Vanilla Outright,BNP,40000000.0,1Y,12.5
MXN,Vanilla Outright,BNP,100000000.0,1Y,15.0
MXN,Vanilla Outright,BNP,200000000.0,1Y,25.0
MXN,Vanilla Outright,BNP,4000000.0,2Y,7.5
MXN,Vanilla Outright,BNP,10000000.0,2Y,10.0
MXN,Vanilla Outright,BNP,20000000.0,2Y,15.0
MXN,Vanilla Outright,BNP,40000000.0,2Y,20.0
MXN,Vanilla Outright,BNP,100000000.0,2Y,25.0
MXN,Vanilla Outright,BNP,200000000.0,2Y,40.0
MXN,Vanilla Outright,BNP,4000000.0,5Y,10.0
MXN,Vanilla Outright,BNP,10000000.0,5Y,10.0
MXN,Vanilla Outright,BNP,20000000.0,5Y,15.0
MXN,Vanilla Outright,BNP,40000000.0,5Y,20.0
MXN,Vanilla Outright,BNP,100000000.0,5Y,25.0
MXN,Vanilla Outright,BNP,200000000.0,5Y,40.0
MXN,Vanilla Outright,BNP,4000000.0,10Y,10.0
MXN,Vanilla Outright,BNP,10000000.0,10Y,12.5
MXN,Vanilla Outright,BNP,20000000.0,10Y,15.0
MXN,Vanilla Outright,BNP,40000000.0,10Y,20.0
MXN,Vanilla Outright,BNP,100000000.0,10Y,25.0
MXN,Vanilla Outright,BNP,200000000.0,10Y,40.0
MXN,Vanilla Outright,BNP,-4000000.0,1Y,10.0
MXN,Vanilla Outright,BNP,-10000000.0,1Y,15.0
MXN,Vanilla Outright,BNP,-20000000.0,1Y,25.0
MXN,Vanilla Outright,BNP,-40000000.0,1Y,30.0
MXN,Vanilla Outright,BNP,-100000000.0,1Y,45.0
MXN,Vanilla Outright,BNP,-200000000.0,1Y,75.0
MXN,Vanilla Outright,BNP,-4000000.0,2Y,10.0
MXN,Vanilla Outright,BNP,-10000000.0,2Y,15.0
MXN,Vanilla Outright,BNP,-20000000.0,2Y,25.0
MXN,Vanilla Outright,BNP,-40000000.0,2Y,30.0
MXN,Vanilla Outright,BNP,-100000000.0,2Y,45.0
MXN,Vanilla Outright,BNP,-200000000.0,2Y,75.0
MXN,Vanilla Outright,BNP,-4000000.0,5Y,12.5
MXN,Vanilla Outright,BNP,-10000000.0,5Y,17.5
MXN,Vanilla Outright,BNP,-20000000.0,5Y,25.0
MXN,Vanilla Outright,BNP,-40000000.0,5Y,35.0
MXN,Vanilla Outright,BNP,-100000000.0,5Y,50.0
MXN,Vanilla Outright,BNP,-200000000.0,5Y,75.0
MXN,Vanilla Outright,BNP,-4000000.0,10Y,15.0
MXN,Vanilla Outright,BNP,-10000000.0,10Y,20.0
MXN,Vanilla Outright,BNP,-20000000.0,10Y,30.0
MXN,Vanilla Outright,BNP,-40000000.0,10Y,40.0
MXN,Vanilla Outright,BNP,-100000000.0,10Y,50.0
MXN,Vanilla Outright,BNP,-200000000.0,10Y,75.0
MXN,Vanilla Outright,RABO,4000000.0,1Y,6.0
MXN,Vanilla Outright,RABO,10000000.0,1Y,8.0
MXN,Vanilla Outright,RABO,20000000.0,1Y,10.0
MXN,Vanilla Outright,RABO,40000000.0,1Y,14.0
MXN,Vanilla Outright,RABO,100000000.0,1Y,20.0
MXN,Vanilla Outright,RABO,200000000.0,1Y,24.0
MXN,Vanilla Outright,RABO,4000000.0,2Y,8.0
MXN,Vanilla Outright,RABO,10000000.0,2Y,10.0
MXN,Vanilla Outright,RABO,20000000.0,2Y,12.0
MXN,Vanilla Outright,RABO,40000000.0,2Y,16.0
MXN,Vanilla Outright,RABO,100000000.0,2Y,22.0
MXN,Vanilla Outright,RABO,200000000.0,2Y,26.0
MXN,Vanilla Outright,RABO,4000000.0,5Y,8.0
MXN,Vanilla Outright,RABO,10000000.0,5Y,10.0
MXN,Vanilla Outright,RABO,20000000.0,5Y,12.0
MXN,Vanilla Outright,RABO,40000000.0,5Y,16.0
MXN,Vanilla Outright,RABO,100000000.0,5Y,22.0
MXN,Vanilla Outright,RABO,200000000.0,5Y,26.0
MXN,Vanilla Outright,RABO,4000000.0,10Y,10.0
MXN,Vanilla Outright,RABO,10000000.0,10Y,12.0
MXN,Vanilla Outright,RABO,20000000.0,10Y,14.0
MXN,Vanilla Outright,RABO,40000000.0,10Y,18.0
MXN,Vanilla Outright,RABO,100000000.0,10Y,24.0
MXN,Vanilla Outright,RABO,200000000.0,10Y,30.0
MXN,Vanilla Outright,RABO,-4000000.0,1Y,6.0
MXN,Vanilla Outright,RABO,-10000000.0,1Y,8.0
MXN,Vanilla Outright,RABO,-20000000.0,1Y,10.0
MXN,Vanilla Outright,RABO,-40000000.0,1Y,14.0
MXN,Vanilla Outright,RABO,-100000000.0,1Y,20.0
MXN,Vanilla Outright,RABO,-200000000.0,1Y,24.0
MXN,Vanilla Outright,RABO,-4000000.0,2Y,8.0
MXN,Vanilla Outright,RABO,-10000000.0,2Y,10.0
MXN,Vanilla Outright,RABO,-20000000.0,2Y,12.0
MXN,Vanilla Outright,RABO,-40000000.0,2Y,16.0
MXN,Vanilla Outright,RABO,-100000000.0,2Y,22.0
MXN,Vanilla Outright,RABO,-200000000.0,2Y,26.0
MXN,Vanilla Outright,RABO,-4000000.0,5Y,8.0
MXN,Vanilla Outright,RABO,-10000000.0,5Y,10.0
MXN,Vanilla Outright,RABO,-20000000.0,5Y,12.0
MXN,Vanilla Outright,RABO,-40000000.0,5Y,16.0
MXN,Vanilla Outright,RABO,-100000000.0,5Y,22.0
MXN,Vanilla Outright,RABO,-200000000.0,5Y,26.0
MXN,Vanilla Outright,RABO,-4000000.0,10Y,10.0
MXN,Vanilla Outright,RABO,-10000000.0,10Y,12.0
MXN,Vanilla Outright,RABO,-20000000.0,10Y,14.0
MXN,Vanilla Outright,RABO,-40000000.0,10Y,18.0
MXN,Vanilla Outright,RABO,-100000000.0,10Y,24.0
MXN,Vanilla Outright,RABO,-200000000.0,10Y,30.0
MXN,Vanilla Outright,Nomura,4000000.0,1Y,5.0
MXN,Vanilla Outright,Nomura,10000000.0,1Y,7.0
MXN,Vanilla Outright,Nomura,20000000.0,1Y,10.0
MXN,Vanilla Outright,Nomura,40000000.0,1Y,15.0
MXN,Vanilla Outright,Nomura,100000000.0,1Y,20.0
MXN,Vanilla Outright,Nomura,200000000.0,1Y,25.0
MXN,Vanilla Outright,Nomura,4000000.0,2Y,7.0
MXN,Vanilla Outright,Nomura,10000000.0,2Y,10.0
MXN,Vanilla Outright,Nomura,20000000.0,2Y,13.0
MXN,Vanilla Outright,Nomura,40000000.0,2Y,18.0
MXN,Vanilla Outright,Nomura,100000000.0,2Y,20.0
MXN,Vanilla Outright,Nomura,200000000.0,2Y,27.0
MXN,Vanilla Outright,Nomura,4000000.0,5Y,10.0
MXN,Vanilla Outright,Nomura,10000000.0,5Y,12.0
MXN,Vanilla Outright,Nomura,20000000.0,5Y,15.0
MXN,Vanilla Outright,Nomura,40000000.0,5Y,20.0
MXN,Vanilla Outright,Nomura,100000000.0,5Y,22.0
MXN,Vanilla Outright,Nomura,200000000.0,5Y,27.0
MXN,Vanilla Outright,Nomura,4000000.0,10Y,10.0
MXN,Vanilla Outright,Nomura,10000000.0,10Y,12.0
MXN,Vanilla Outright,Nomura,20000000.0,10Y,15.0
MXN,Vanilla Outright,Nomura,40000000.0,10Y,20.0
MXN,Vanilla Outright,Nomura,100000000.0,10Y,22.0
MXN,Vanilla Outright,Nomura,200000000.0,10Y,27.0
MXN,Vanilla Outright,Nomura,-4000000.0,1Y,5.0
MXN,Vanilla Outright,Nomura,-10000000.0,1Y,7.0
MXN,Vanilla Outright,Nomura,-20000000.0,1Y,10.0
MXN,Vanilla Outright,Nomura,-40000000.0,1Y,15.0
