CCY,TradeType,Firm,Size,Tenor,Spread
USD,Vanilla Outright,"Average of 5th, 6th and 7th smallest charge",2000000.0,3m**,1.2222222222222223
USD,Vanilla Outright,"Average of 5th, 6th and 7th smallest charge",5000000.0,3m**,2.0
USD,Vanilla Outright,"Average of 5th, 6th and 7th smallest charge",10000000.0,3m**,3.6666666666666665
USD,Vanilla Outright,"Average of 5th, 6th and 7th smallest charge",20000000.0,3m**,5.0
USD,Vanilla Outright,"Average of 5th, 6th and 7th smallest charge",50000000.0,3m**,7.666666666666667
USD,Vanilla Outright,"Average of 5th, 6th and 7th smallest charge",100000000.0,3m**,12.0
USD,Vanilla Outright,"Average of 5th, 6th and 7th smallest charge",2000000.0,6m**,1.6666666666666667
USD,Vanilla Outright,"Average of 5th, 6th and 7th smallest charge",5000000.0,6m**,2.1666666666666665
USD,Vanilla Outright,"Average of 5th, 6th and 7th smallest charge",10000000.0,6m**,4.0
USD,Vanilla Outright,"Average of 5th, 6th and 7th smallest charge",20000000.0,6m**,5.666666666666667
USD,Vanilla Outright,"Average of 5th, 6th and 7th smallest charge",50000000.0,6m**,7.666666666666667
USD,Vanilla Outright,"Average of 5th, 6th and 7th smallest charge",100000000.0,6m**,12.0
USD,Vanilla Outright,"Average of 5th, 6th and 7th smallest charge",2000000.0,1Y,1.75
USD,Vanilla Outright,"Average of 5th, 6th and 7th smallest charge",5000000.0,1Y,2.1666666666666665
USD,Vanilla Outright,"Average of 5th, 6th and 7th smallest charge",10000000.0,1Y,4.333333333333333
USD,Vanilla Outright,"Average of 5th, 6th and 7th smallest charge",20000000.0,1Y,6.666666666666667
USD,Vanilla Outright,"Average of 5th, 6th and 7th smallest charge",50000000.0,1Y,8.5
USD,Vanilla Outright,"Average of 5th, 6th and 7th smallest charge",100000000.0,1Y,14.0
USD,Vanilla Outright,"Average of 5th, 6th and 7th smallest charge",2000000.0,2Y,2.0
USD,Vanilla Outright,"Average of 5th, 6th and 7th smallest charge",5000000.0,2Y,2.6666666666666665
