CCY,TradeType,Firm,Size,Tenor,Spread
ZAR,Vanilla Outright,Median,400000.0,1Y,3.0
ZAR,Vanilla Outright,Median,1000000.0,1Y,5.0
ZAR,Vanilla Outright,Median,2000000.0,1Y,8.0
ZAR,Vanilla Outright,Median,4000000.0,1Y,12.0
ZAR,Vanilla Outright,Median,10000000.0,1Y,20.0
ZAR,Vanilla Outright,Median,20000000.0,1Y,40.0
ZAR,Vanilla Outright,Median,400000.0,2Y,3.0
ZAR,Vanilla Outright,Median,1000000.0,2Y,5.0
ZAR,Vanilla Outright,Median,2000000.0,2Y,8.0
ZAR,Vanilla Outright,Median,4000000.0,2Y,13.0
ZAR,Vanilla Outright,Median,10000000.0,2Y,25.0
ZAR,Vanilla Outright,Median,20000000.0,2Y,40.0
ZAR,Vanilla Outright,Median,400000.0,5Y,3.3
ZAR,Vanilla Outright,Median,1000000.0,5Y,5.0
ZAR,Vanilla Outright,Median,2000000.0,5Y,10.0
ZAR,Vanilla Outright,Median,4000000.0,5Y,15.0
ZAR,Vanilla Outright,Median,10000000.0,5Y,25.0
ZAR,Vanilla Outright,Median,20000000.0,5Y,45.0
ZAR,Vanilla Outright,Median,400000.0,10Y,3.6300000000000003
ZAR,Vanilla Outright,Median,1000000.0,10Y,5.293750000000001
ZAR,Vanilla Outright,Median,2000000.0,10Y,10.0
ZAR,Vanilla Outright,Median,4000000.0,10Y,15.0
ZAR,Vanilla Outright,Median,10000000.0,10Y,25.0
ZAR,Vanilla Outright,Median,20000000.0,10Y,50.0
ZAR,Vanilla Outright,Median,-400000.0,1Y,3.0
ZAR,Vanilla Outright,Median,-1000000.0,1Y,5.0
ZAR,Vanilla Outright,Median,-2000000.0,1Y,8.0
ZAR,Vanilla Outright,Median,-4000000.0,1Y,12.0
ZAR,Vanilla Outright,Median,-10000000.0,1Y,20.0
ZAR,Vanilla Outright,Median,-20000000.0,1Y,40.0
ZAR,Vanilla Outright,Median,-400000.0,2Y,3.0
ZAR,Vanilla Outright,Median,-1000000.0,2Y,5.0
ZAR,Vanilla Outright,Median,-2000000.0,2Y,8.0
ZAR,Vanilla Outright,Median,-4000000.0,2Y,13.0
ZAR,Vanilla Outright,Median,-10000000.0,2Y,25.0
ZAR,Vanilla Outright,Median,-20000000.0,2Y,40.0
ZAR,Vanilla Outright,Median,-400000.0,5Y,3.135
ZAR,Vanilla Outright,Median,-1000000.0,5Y,5.0
ZAR,Vanilla Outright,Median,-2000000.0,5Y,10.0
ZAR,Vanilla Outright,Median,-4000000.0,5Y,15.0
ZAR,Vanilla Outright,Median,-10000000.0,5Y,25.0
ZAR,Vanilla Outright,Median,-20000000.0,5Y,45.0
ZAR,Vanilla Outright,Median,-400000.0,10Y,3.4485
ZAR,Vanilla Outright,Median,-1000000.0,10Y,5.029062500000001
ZAR,Vanilla Outright,Median,-2000000.0,10Y,10.0
ZAR,Vanilla Outright,Median,-4000000.0,10Y,15.0
ZAR,Vanilla Outright,Median,-10000000.0,10Y,25.0
ZAR,Vanilla Outright,Median,-20000000.0,10Y,50.0
ZAR,Vanilla Outright,DB,400000.0,1Y,4.0
ZAR,Vanilla Outright,DB,1000000.0,1Y,7.0
ZAR,Vanilla Outright,DB,2000000.0,1Y,11.0
ZAR,Vanilla Outright,DB,4000000.0,1Y,15.0
ZAR,Vanilla Outright,DB,10000000.0,1Y,40.0
ZAR,Vanilla Outright,DB,20000000.0,1Y,50.0
ZAR,Vanilla Outright,DB,400000.0,2Y,4.0
ZAR,Vanilla Outright,DB,1000000.0,2Y,8.0
ZAR,Vanilla Outright,DB,2000000.0,2Y,13.0
ZAR,Vanilla Outright,DB,4000000.0,2Y,20.0
ZAR,Vanilla Outright,DB,10000000.0,2Y,50.0
ZAR,Vanilla Outright,DB,20000000.0,2Y,80.0
ZAR,Vanilla Outright,DB,400000.0,5Y,5.0
ZAR,Vanilla Outright,DB,1000000.0,5Y,10.0
ZAR,Vanilla Outright,DB,2000000.0,5Y,15.0
ZAR,Vanilla Outright,DB,4000000.0,5Y,25.0
ZAR,Vanilla Outright,DB,10000000.0,5Y,70.0
ZAR,Vanilla Outright,DB,20000000.0,5Y,130.0
ZAR,Vanilla Outright,DB,400000.0,10Y,6.0
ZAR,Vanilla Outright,DB,1000000.0,10Y,12.0
ZAR,Vanilla Outright,DB,2000000.0,10Y,18.0
ZAR,Vanilla Outright,DB,4000000.0,10Y,30.0
ZAR,Vanilla Outright,DB,10000000.0,10Y,90.0
ZAR,Vanilla Outright,DB,20000000.0,10Y,150.0
ZAR,Vanilla Outright,DB,-400000.0,1Y,3.0
ZAR,Vanilla Outright,DB,-1000000.0,1Y,6.0
ZAR,Vanilla Outright,DB,-2000000.0,1Y,10.0
ZAR,Vanilla Outright,DB,-4000000.0,1Y,12.0
ZAR,Vanilla Outright,DB,-10000000.0,1Y,30.0
ZAR,Vanilla Outright,DB,-20000000.0,1Y,40.0
ZAR,Vanilla Outright,DB,-400000.0,2Y,4.0
ZAR,Vanilla Outright,DB,-1000000.0,2Y,7.0
ZAR,Vanilla Outright,DB,-2000000.0,2Y,12.0
ZAR,Vanilla Outright,DB,-4000000.0,2Y,15.0
ZAR,Vanilla Outright,DB,-10000000.0,2Y,40.0
ZAR,Vanilla Outright,DB,-20000000.0,2Y,60.0
ZAR,Vanilla Outright,DB,-400000.0,5Y,4.0
ZAR,Vanilla Outright,DB,-1000000.0,5Y,8.0
ZAR,Vanilla Outright,DB,-2000000.0,5Y,14.0
ZAR,Vanilla Outright,DB,-4000000.0,5Y,18.0
ZAR,Vanilla Outright,DB,-10000000.0,5Y,50.0
ZAR,Vanilla Outright,DB,-20000000.0,5Y,100.0
ZAR,Vanilla Outright,DB,-400000.0,10Y,5.0
ZAR,Vanilla Outright,DB,-1000000.0,10Y,10.0
ZAR,Vanilla Outright,DB,-2000000.0,10Y,16.0
ZAR,Vanilla Outright,DB,-4000000.0,10Y,25.0
ZAR,Vanilla Outright,DB,-10000000.0,10Y,60.0
ZAR,Vanilla Outright,DB,-20000000.0,10Y,130.0
ZAR,Vanilla Outright,BNP,400000.0,1Y,2.0
ZAR,Vanilla Outright,BNP,1000000.0,1Y,3.0
ZAR,Vanilla Outright,BNP,2000000.0,1Y,5.0
ZAR,Vanilla Outright,BNP,4000000.0,1Y,8.0
